Image,PSNR,SSIM
Image_1,32.5117725042968,0.7824101592636782
Image_2,30.20105758627603,0.787320408101881
Image_3,32.965715665408176,0.8004363663214122
Image_4,33.03021650948025,0.8035800327303821
Image_5,33.42265673009032,0.8026024685674802
Image_6,34.25225784487753,0.8347352899532543
Image_7,34.03500100675616,0.8323862973207314
Image_8,34.0686195863725,0.8261484317131366
Image_9,33.2560730655566,0.8654857122949726
Image_10,32.16292699336212,0.8039203244477183
Average,32.990629749247645,0.8139025490714648
